X	Y	Z
44	10.000002	0.001143
44	20.000004	0.002119
44	30.000008	0.009288
44	40.000008	0.001485
44	50.000011	0.001053
44	60.000008	0.001498
44	70.000008	0.001606
44	80.000008	0.001370
44	90.000008	0.001245
45	10.000002	0.001365
45	20.000004	0.013236
45	30.000008	0.001385
45	40.000008	0.001060
45	50.000011	0.001932
45	60.000008	0.001217
45	70.000008	0.001388
45	80.000008	0.001201
45	90.000008	0.010329
46	10.000002	0.001128
46	20.000004	0.001425
46	30.000008	0.001162
46	40.000008	0.001540
46	50.000011	0.001140
46	60.000008	0.001474
46	70.000008	0.001365
46	80.000008	0.009619
46	90.000008	0.002213
47	10.000002	0.001510
47	20.000004	0.001085
47	30.000008	0.002248
47	40.000008	0.001047
47	50.000011	0.001371
47	60.000008	0.001046
47	70.000008	0.008708
47	80.000008	0.001139
47	90.000008	0.001133
48	10.000002	0.001086
48	20.000004	0.002011
48	30.000008	0.001921
48	40.000008	0.001268
48	50.000011	0.001078
48	60.000008	0.009278
48	70.000008	0.001140
48	80.000008	0.001454
48	90.000008	0.001318
49	10.000002	0.001392
49	20.000004	0.001059
49	30.000008	0.001357
49	40.000008	0.001055
49	50.000011	0.001505
49	60.000008	0.008623
49	70.000008	0.001590
49	80.000008	0.001126
49	90.000008	0.001657
50	10.000002	0.001126
50	20.000004	0.001400
50	30.000008	0.001099
50	40.000008	0.002173
50	50.000011	0.009101
50	60.000008	0.001399
50	70.000008	0.001177
50	80.000008	0.001498
50	90.000008	0.001342
51	10.000002	0.001353
51	20.000004	0.001027
51	30.000008	0.001431
51	40.000008	0.001745
51	50.000011	0.002124
51	60.000008	0.001173
51	70.000008	0.001490
51	80.000008	0.001195
51	90.000008	0.001746
52	10.000002	0.001142
52	20.000004	0.001406
52	30.000008	0.000963
52	40.000008	0.008688
52	50.000011	0.000999
52	60.000008	0.001001
52	70.000008	0.001033
52	80.000008	0.001266
52	90.000008	0.001054
53	10.000002	0.001095
53	20.000004	0.000620
53	30.000008	0.000996
53	40.000008	0.007486
53	50.000011	0.000864
53	60.000008	0.001235
53	70.000008	0.000871
53	80.000008	0.001342
53	90.000008	0.000921
54	10.000002	0.001342
54	20.000004	0.002371
54	30.000008	0.004244
54	40.000008	0.007717
54	50.000011	0.001257
54	60.000008	0.001074
54	70.000008	0.001995
54	80.000008	0.001089
54	90.000008	0.001429
55	10.000002	0.008446
55	20.000004	0.001291
55	30.000008	0.000577
55	40.000008	0.000609
55	50.000011	0.000597
55	60.000008	0.000699
55	70.000008	0.001158
55	80.000008	0.000766
55	90.000008	0.000829
56	10.000002	0.000654
56	20.000004	0.000548
56	30.000008	0.000574
56	40.000008	0.000554
56	50.000011	0.000561
56	60.000008	0.000639
56	70.000008	0.000684
56	80.000008	0.000686
56	90.000008	0.000860
57	10.000002	0.000765
57	20.000004	0.000602
57	30.000008	0.000573
57	40.000008	0.000869
57	50.000011	0.000646
57	60.000008	0.000639
57	70.000008	0.000645
57	80.000008	0.000746
57	90.000008	0.001619
58	10.000002	0.000731
58	20.000004	0.001378
58	30.000008	0.000607
58	40.000008	0.000698
58	50.000011	0.001282
58	60.000008	0.000639
58	70.000008	0.000653
58	80.000008	0.000867
58	90.000008	0.000970
59	10.000002	0.000684
59	20.000004	0.000662
59	30.000008	0.000989
59	40.000008	0.000654
59	50.000011	0.000674
59	60.000008	0.000728
59	70.000008	0.000731
59	80.000008	0.000763
59	90.000008	0.000911
60	10.000002	0.001220
60	20.000004	0.000657
60	30.000008	0.000718
60	40.000008	0.000608
60	50.000011	0.000695
60	60.000008	0.000692
60	70.000008	0.000797
60	80.000008	0.001186
60	90.000008	0.000962
61	10.000002	0.000765
61	20.000004	0.000699
61	30.000008	0.000727
61	40.000008	0.000660
61	50.000011	0.000673
61	60.000008	0.000734
61	70.000008	0.000750
61	80.000008	0.000880
61	90.000008	0.001069
62	10.000002	0.000818
62	20.000004	0.000831
62	30.000008	0.000790
62	40.000008	0.001251
62	50.000011	0.000767
62	60.000008	0.000743
62	70.000008	0.000910
62	80.000008	0.000851
62	90.000008	0.001337
63	10.000002	0.002093
63	20.000004	0.001924
63	30.000008	0.000777
63	40.000008	0.000840
63	50.000011	0.000730
63	60.000008	0.000787
63	70.000008	0.000823
63	80.000008	0.001513
63	90.000008	0.001568
64	10.000002	0.000945
64	20.000004	0.000689
64	30.000008	0.000724
64	40.000008	0.000797
64	50.000011	0.000741
64	60.000008	0.000903
64	70.000008	0.000752
64	80.000008	0.001294
64	90.000008	0.001597
65	10.000002	0.001019
65	20.000004	0.000786
65	30.000008	0.003139
65	40.000008	0.000862
65	50.000011	0.000888
65	60.000008	0.000801
65	70.000008	0.000971
65	80.000008	0.001306
65	90.000008	0.001111
66	10.000002	0.001106
66	20.000004	0.000871
66	30.000008	0.000766
66	40.000008	0.000852
66	50.000011	0.000724
66	60.000008	0.000752
66	70.000008	0.001414
66	80.000008	0.001104
66	90.000008	0.001253
67	10.000002	0.000888
67	20.000004	0.000935
67	30.000008	0.001774
67	40.000008	0.000736
67	50.000011	0.001312
67	60.000008	0.000849
67	70.000008	0.001059
67	80.000008	0.000926
67	90.000008	0.001147
68	10.000002	0.000998
68	20.000004	0.000739
68	30.000008	0.000741
68	40.000008	0.000809
68	50.000011	0.000815
68	60.000008	0.000762
68	70.000008	0.000790
68	80.000008	0.000913
68	90.000008	0.001205
69	10.000002	0.000762
69	20.000004	0.000868
69	30.000008	0.000777
69	40.000008	0.000823
69	50.000011	0.000865
69	60.000008	0.001481
69	70.000008	0.001036
69	80.000008	0.001120
69	90.000008	0.001294
70	10.000002	0.000989
70	20.000004	0.000881
70	30.000008	0.000925
70	40.000008	0.001022
70	50.000011	0.000925
70	60.000008	0.000930
70	70.000008	0.000938
70	80.000008	0.001061
70	90.000008	0.001194
71	10.000002	0.000815
71	20.000004	0.000860
71	30.000008	0.001360
71	40.000008	0.001000
71	50.000011	0.000953
71	60.000008	0.000854
